profile_id,account_age_days,bio_length,profile_picture_quality,posts_count,followers_count,following_count,posts_last_30_days,external_link_count,username_digit_count,username_length,repeated_captions,recent_posts_sampled,avg_caption_length,night_posts,likes_last_20_posts,comments_last_20_posts,dm_sent_last_7_days,dm_replies_last_7_days
P00870,248,109,0.562,182,552,669,21,0,1,13,3,23,192.6,5,2401,88,32,5
P00871,165,0,0.479,56,0,1341,56,3,8,12,14,30,18.2,9,0,61,126,4
P00872,1,101,0.599,34,467,581,31,3,8,14,8,22,0,14,405,54,63,0
P00873,153,24,0.823,0,436,869,68,3,7,14,5,15,54.4,4,244,0,57,9
P00874,2233,165,0.465,408,1708,324,4,1,1,10,2,18,58.0,4,635,0,12,2
P00875,1443,96,0.908,5,1690,1091,1,0,2,15,0,15,87.5,2,985,134,7,8
P00876,1531,46,0.534,5,875,22,1,0,4,8,4,24,86.6,6,1995,72,34,17
P00877,549,149,0.799,385,808,132,0,0,1,16,2,18,3.2,1,2618,0,29,6
P00878,49,31,0.623,60,326,1144,38,1,6,18,4,12,0,2,127,19,215,7
P00879,1,0,0.02,82,371,2292,45,0,2,19,9,30,42.7,18,0,0,148,23
P00880,1705,111,0.623,248,1631,15,16,2,0,4,0,23,49.5,4,145,171,15,7
P00881,52,12,0.567,33,570,425,0,2,2,16,8,20,0,13,581,57,95,2
P00882,1719,119,0.807,234,249,89,21,0,0,8,7,24,128.6,3,1938,98,21,10
P00883,1,8,0.644,40,171,2008,57,0,8,18,10,19,43.2,19,482,25,91,9
P00884,77,37,0.378,5,663,1841,55,2,1,15,15,24,86.1,17,819,0,76,0
P00885,693,44,0.99,309,10,445,9,0,2,6,5,24,59.9,0,1169,186,11,11
P00886,1234,85,0.771,96,1010,744,3,1,0,7,2,16,116.4,5,0,339,0,0
P00887,31,20,0.541,0,43,2507,30,1,7,19,16,27,28.5,19,304,0,0,3
P00888,1083,54,0.895,509,230,25,6,1,1,12,3,8,117.2,1,2350,0,31,6
P00889,199,20,0.473,3,179,490,60,0,1,16,21,30,10.9,26,61,5,145,3
P00890,1929,21,0.525,334,367,921,2,0,1,8,1,12,35.7,2,2995,350,0,3
P00891,47,11,0.334,33,217,179,53,2,4,9,0,20,54.5,13,378,45,115,5
P00892,1168,65,0.46,242,151,1147,24,0,1,11,0,19,101.8,2,1240,106,13,1
P00893,379,101,0.823,182,167,15,34,1,1,9,1,12,88.1,1,0,209,39,5
P00894,1462,64,0.871,76,10,507,14,0,0,10,2,20,72.7,1,0,17,3,10
P00895,1004,0,0.76,5,900,600,9,0,0,12,0,24,88.7,1,463,17,22,10
P00896,27,46,0.376,39,0,1234,38,3,5,12,11,19,22.6,4,533,0,93,4
P00897,1462,55,0.753,140,3590,61,11,0,0,13,6,26,1.1,3,1103,177,19,15
P00898,936,66,0.709,498,10,143,3,1,0,8,1,28,67.5,8,1604,112,29,0
P00899,1320,71,0.984,583,348,730,11,2,3,12,2,12,90.6,3,505,50,23,2
P00900,695,104,0.895,5,10,739,13,0,1,18,3,28,166.7,2,0,205,10,2
P00901,1184,60,0.671,548,2264,375,14,0,1,13,3,30,127.2,2,1856,80,10,7
P00902,89,21,0.276,44,826,2627,0,1,3,18,3,19,85.0,8,389,20,169,22
P00903,1547,156,0.742,5,1503,781,16,0,4,9,2,17,68.9,3,484,199,0,4
P00904,883,29,0.567,401,690,615,3,1,1,14,3,14,119.8,2,1256,280,31,5
P00905,981,138,0.801,138,374,15,2,1,1,6,1,21,61.5,3,521,167,28,5
P00906,206,16,0.338,37,0,2485,47,2,1,11,10,23,0,11,425,0,63,0
P00907,1245,0,0.796,216,1898,1021,6,0,2,14,6,27,100.2,3,2312,25,1,7
P00908,34,82,0.123,120,0,1729,27,2,6,9,2,14,42.1,4,91,22,0,20
P00909,1377,135,0.991,280,1938,516,18,0,1,12,1,6,121.8,1,1839,163,15,0
P00910,1,47,0.434,53,314,1318,46,2,2,16,8,20,41.4,12,407,5,146,3
P00911,1017,113,0.875,591,2389,798,14,0,1,8,1,12,137.3,0,1648,0,8,10
P00912,518,147,0.822,78,267,15,0,2,0,5,5,24,116.7,3,2458,88,0,8
P00913,855,92,0.707,363,147,582,17,0,1,10,4,25,35.3,10,852,131,0,2
P00914,1208,93,0.708,468,1229,251,10,0,3,11,0,22,112.4,4,352,131,43,11
P00915,53,65,0.658,0,56,1355,39,2,1,20,18,27,65.2,12,781,0,133,8
P00916,1023,93,0.68,814,882,210,10,1,2,9,0,29,147.9,4,1127,186,38,5
P00917,362,97,0.994,63,1543,627,16,3,1,6,1,19,91.1,4,1688,81,19,3
P00918,921,51,0.9,306,10,890,7,1,3,13,4,20,86.7,2,1391,149,7,10
P00919,616,100,0.937,5,1189,129,10,0,0,12,0,18,61.4,4,1813,0,16,19
P00920,1013,99,0.649,625,1017,796,0,1,2,10,1,22,117.6,2,124,14,0,8
P00921,861,129,0.78,348,1620,510,8,0,0,14,2,21,60.2,8,0,125,4,4
P00922,2112,70,0.694,544,1408,539,5,0,2,11,0,23,71.9,2,2646,347,36,8
P00923,1310,46,0.852,193,1305,641,3,0,2,10,0,30,109.0,1,140,102,36,13
P00924,214,64,0.634,1,245,1041,22,3,2,17,2,11,20.6,7,74,24,132,0
P00925,325,35,0.974,5,1376,568,0,1,0,15,3,23,221.1,0,1394,0,1,6
P00926,661,45,0.787,389,768,384,16,1,2,6,0,10,140.7,2,888,128,0,0
P00927,198,38,0.369,23,194,1728,0,2,7,12,8,21,44.3,11,891,0,121,7
P00928,740,50,0.773,106,352,466,19,0,1,6,3,16,46.3,1,0,70,22,8
P00929,1810,137,0.745,431,806,15,0,0,0,9,4,25,108.6,9,1154,337,0,1
P00930,1295,7,0.83,386,10,606,10,1,1,12,5,30,99.4,2,0,159,1,2
P00931,1038,122,0.891,96,1562,797,0,0,1,13,2,20,203.5,2,1380,251,7,8
P00932,895,100,0.89,531,1829,991,16,1,4,7,0,23,64.7,6,2649,127,17,13
P00933,421,93,0.808,223,46,690,32,1,2,8,4,30,42.2,7,1720,168,34,0
P00934,78,6,0.491,0,133,1195,75,2,6,12,9,25,0,16,635,4,94,11
P00935,629,87,0.896,562,10,120,0,0,2,13,5,17,112.7,8,1452,0,2,18
P00936,103,7,0.616,5,121,2247,50,2,8,22,16,30,27.4,23,388,64,145,6
P00937,75,42,0.526,70,383,1301,0,0,6,13,18,25,9.0,22,256,0,68,10
P00938,202,52,0.389,30,24,1318,30,3,6,17,10,17,39.4,12,0,43,125,17
P00939,77,0,0.346,18,289,2010,55,3,6,10,12,23,43.1,8,977,0,60,3
P00940,126,11,0.026,90,518,1044,34,1,7,12,3,30,33.7,0,498,12,33,21
P00941,652,82,0.935,237,10,493,5,1,3,8,2,20,137.9,7,3166,0,6,9
P00942,731,93,0.712,34,1771,306,12,0,0,8,5,22,60.2,6,0,260,20,10
P00943,965,82,1,340,748,912,0,0,0,14,1,23,108.5,8,922,332,9,0
P00944,84,23,0.311,52,184,1660,51,2,4,20,11,20,0.6,17,83,38,42,4
P00945,476,79,0.544,261,860,15,32,1,3,11,2,13,108.9,3,2987,201,29,0
P00946,421,74,0.878,609,1224,290,9,0,2,10,0,17,49.4,6,1061,97,17,6
P00947,1182,172,0.662,5,1873,684,21,1,1,11,2,27,95.5,3,11,227,27,0
P00948,186,23,0.698,57,86,1137,75,2,4,13,8,30,67.9,23,0,0,135,0
P00949,190,75,0.829,91,831,252,14,1,0,10,1,11,28.3,2,3581,136,30,8
P00950,89,39,0.29,11,483,1349,54,1,4,14,5,30,46.5,19,0,57,74,1
P00951,395,102,0.883,5,1116,940,21,1,2,9,6,30,79.3,6,1357,64,14,2
P00952,365,29,0.597,96,10,647,21,0,0,8,0,30,108.2,9,0,18,23,9
P00953,164,40,0.409,0,574,1150,0,1,7,14,8,26,17.0,14,740,36,141,8
P00954,1,30,0.607,0,14,602,70,0,8,11,5,14,97.0,11,0,52,175,0
P00955,929,48,0.789,450,193,235,26,1,1,8,10,30,69.8,9,2064,325,0,15
P00956,1135,26,0.914,588,402,135,21,1,2,12,3,18,67.2,3,1860,27,0,13
P00957,242,22,0.396,78,1020,3157,25,2,3,18,10,18,13.6,4,347,37,188,9
P00958,1022,128,0.855,677,368,417,14,1,3,8,2,18,133.9,4,1168,75,28,18
P00959,1144,80,0.768,277,1670,203,20,1,2,13,0,11,154.8,3,1067,0,12,12
P00960,1481,56,0.862,428,1795,801,16,0,2,7,6,22,36.1,3,2351,56,26,7
P00961,1114,76,0.601,78,369,1392,9,1,1,8,1,20,113.3,4,532,0,6,7
P00962,1791,136,0.887,417,369,925,8,0,2,6,5,29,95.4,6,527,0,9,0
P00963,535,90,0.992,60,320,1157,1,0,0,12,8,30,83.3,7,477,126,30,6
P00964,476,101,0.558,176,10,327,19,1,1,12,3,25,98.7,6,301,156,12,0
P00965,1047,52,0.863,340,10,94,21,1,0,12,3,19,138.2,6,2109,87,34,1
P00966,1048,70,0.569,319,642,472,9,1,1,10,7,29,35.3,11,775,205,18,5
P00967,1537,50,0.84,371,797,392,16,0,0,15,2,9,87.7,3,1905,0,24,15
P00968,1058,26,0.91,459,10,822,7,0,0,14,0,23,21.1,4,957,196,6,0
P00969,1076,95,0.666,282,526,439,11,1,0,8,0,24,100.4,0,1297,255,34,8
P00970,17,0,0.396,7,0,1213,12,2,4,12,16,30,114.7,4,431,30,155,0
P00971,410,35,0.967,322,2276,923,7,1,1,6,6,30,85.6,2,1018,11,0,0
P00972,192,11,0.502,27,174,183,30,2,8,6,17,30,66.3,2,0,2,135,3
P00973,353,19,0.711,326,540,323,10,0,1,10,0,30,83.5,9,0,0,32,5
P00974,1188,86,0.538,90,1061,1101,16,0,2,5,2,23,101.6,2,1273,228,37,8
P00975,193,25,0.277,0,0,1913,53,0,6,15,16,23,17.4,13,793,31,118,2
P00976,165,54,1,492,1533,571,8,2,1,7,5,23,125.4,6,720,100,0,0
P00977,123,35,0.521,100,196,1875,39,4,1,17,17,20,15.9,9,736,34,134,16
P00978,168,8,0.389,90,490,1529,32,1,4,17,13,30,0,5,765,54,70,0
P00979,1515,91,0.877,206,1282,1737,3,0,0,13,2,30,107.6,0,1211,251,8,7
P00980,804,38,0.796,557,656,544,0,0,0,13,3,24,103.4,5,1744,449,23,4
P00981,1770,76,0.826,429,1173,54,6,0,2,12,1,18,85.4,4,2688,113,7,10
P00982,1,36,0.116,35,315,107,27,3,3,14,13,22,44.1,3,257,0,14,2
P00983,1298,89,0.733,87,10,916,5,1,2,10,4,18,78.4,0,1348,156,56,9
P00984,135,27,0.594,44,282,2269,51,2,2,15,13,26,26.4,11,646,0,132,0
P00985,1665,102,0.849,233,55,1129,13,0,2,6,3,22,118.2,1,2284,173,51,0
P00986,41,36,0.426,38,0,2335,90,2,6,13,14,22,0,8,454,8,14,5
P00987,252,0,0.582,12,104,983,26,4,9,14,12,22,43.9,0,703,0,180,5
P00988,933,80,0.782,394,1617,161,19,1,1,7,2,23,78.5,2,1701,140,20,1
P00989,112,0,0.331,0,347,1086,0,1,5,21,21,27,29.2,7,0,0,117,0
P00990,22,0,0.252,0,590,466,30,0,4,12,12,22,82.4,10,239,0,137,9
P00991,618,54,0.842,327,1846,15,0,0,1,8,3,25,76.7,7,0,188,25,9
P00992,134,0,0.235,0,291,991,15,4,6,12,7,21,68.6,16,835,2,116,11
P00993,1277,62,0.68,201,10,848,18,0,0,10,3,25,147.5,9,0,355,14,17
P00994,1769,132,0.799,69,10,915,16,0,2,14,3,17,25.4,6,862,114,11,0
P00995,595,63,0.87,451,1687,343,9,0,3,13,3,26,97.2,6,281,119,30,9
P00996,14,49,0.348,0,319,1357,29,2,0,16,13,27,30.3,10,603,25,98,0
P00997,787,42,0.913,416,2204,394,0,1,1,10,0,12,107.0,1,1656,211,12,10
P00998,40,0,0.392,0,267,4282,69,2,1,11,15,30,29.8,16,0,10,135,2
P00999,298,28,1,75,1124,250,46,1,2,13,5,26,68.4,4,439,51,0,7
P01000,59,46,0.152,3,0,2639,22,3,3,6,15,30,0,14,386,12,82,0
P01001,205,73,0.137,94,305,1466,45,1,1,13,5,12,116.7,2,245,0,102,1
P01002,1011,138,0.634,381,10,667,1,0,1,11,0,9,62.9,3,315,165,21,15
P01003,1512,91,0.742,450,1243,238,1,1,4,13,9,26,90.0,4,1701,152,27,1
P01004,228,67,0.637,494,1353,15,21,1,0,4,2,23,19.2,4,1767,117,9,2
P01005,232,48,0.686,272,1448,449,33,1,1,11,0,19,126.4,2,1581,171,36,12
P01006,2163,59,0.807,227,1685,626,25,0,1,13,2,28,94.4,8,1379,81,12,2
P01007,863,32,0.912,19,10,15,33,1,3,10,0,28,120.7,3,3210,0,24,13
P01008,1865,59,0.959,204,715,1040,23,1,1,11,0,25,112.5,9,1707,122,13,0
P01009,655,52,0.873,308,10,758,0,1,1,10,6,15,52.3,3,123,159,12,6
P01010,30,12,0.086,42,363,2037,30,0,4,17,24,28,36.4,6,787,20,102,8
P01011,16,13,0.364,58,0,2198,55,1,5,8,16,25,28.0,11,408,31,131,12
P01012,769,84,0.79,463,1712,866,19,1,1,8,7,30,117.0,0,646,231,21,9
P01013,1360,124,0.797,85,2442,670,7,0,2,9,2,20,141.2,2,1706,240,11,1
P01014,1243,86,0.76,369,737,856,41,0,2,10,6,30,95.3,9,0,102,0,4
P01015,998,48,0.846,263,569,480,17,0,3,14,1,17,96.7,5,1835,216,0,10
P01016,1224,47,0.899,167,1712,217,21,0,0,12,0,12,11.1,3,1485,171,8,9
P01017,276,26,0.435,22,0,496,66,1,6,12,12,27,56.8,8,564,10,302,1
P01018,1835,64,0.79,25,1604,464,0,1,0,13,4,19,73.8,0,1578,208,6,0
P01019,605,83,1,387,10,226,9,0,0,13,1,15,81.2,6,1738,28,33,4
P01020,104,33,0.182,82,694,718,10,0,7,19,13,22,73.1,10,565,0,154,5
P01021,134,42,0.366,39,264,621,19,2,6,11,6,30,44.5,13,445,49,21,25
P01022,131,1,0.523,0,0,30,73,1,4,15,16,26,0,9,15,0,111,19
P01023,173,43,0.444,0,0,801,44,2,3,11,18,29,28.4,16,480,11,229,6
P01024,821,107,0.734,596,1204,434,0,0,0,12,0,30,105.5,9,2352,31,7,0
P01025,1192,89,0.845,133,1651,552,17,0,1,4,0,26,80.4,10,718,73,6,0
P01026,90,39,0.466,22,576,3021,0,3,2,11,11,28,88.0,8,771,25,89,0
P01027,364,89,0.751,567,840,524,0,0,0,9,2,29,91.5,1,1304,141,20,9
P01028,1660,154,0.526,193,503,350,28,0,2,9,0,25,98.8,0,1426,43,7,9
P01029,1822,114,0.794,346,1139,309,24,0,0,8,5,20,121.2,5,1688,248,42,0
P01030,95,17,0.612,0,84,1237,78,2,6,8,6,20,39.2,14,79,0,211,0
P01031,1052,118,0.495,248,1214,796,7,0,0,12,5,30,17.0,4,2151,155,13,5
P01032,49,9,0.66,0,0,886,14,1,1,20,8,22,0,11,371,59,168,7
P01033,30,99,0.779,555,1320,802,6,0,2,12,4,17,56.9,2,1290,276,32,3
P01034,937,73,0.982,274,307,445,18,0,0,12,6,23,61.1,0,0,0,15,2
P01035,52,40,0.337,0,0,1816,13,1,4,15,13,24,29.8,15,112,37,69,2
P01036,53,33,0.648,0,443,1909,47,2,4,19,11,27,19.3,15,361,41,15,14
P01037,156,56,0.377,13,340,1392,22,2,3,11,8,26,95.8,13,259,12,92,19
P01038,150,57,0.723,76,568,860,21,0,2,10,9,19,0,17,0,35,131,2
P01039,196,0,0.45,26,50,1694,15,0,5,18,7,17,40.2,9,594,19,77,0
P01040,65,13,0.39,0,221,3116,80,0,3,15,14,26,94.7,9,821,0,67,22
P01041,1576,102,0.724,13,1016,198,0,1,0,13,5,25,50.7,7,638,31,17,10
P01042,1973,90,0.755,318,748,369,21,2,1,6,2,13,70.7,4,1440,129,19,0
P01043,1208,10,0.834,237,10,777,0,1,1,10,1,20,14.4,8,2116,197,9,14
P01044,613,74,0.844,5,685,575,22,1,0,13,2,27,88.0,2,1979,376,37,15
P01045,982,101,0.783,413,1505,716,25,1,1,12,3,15,100.6,1,1162,63,0,6
P01046,1681,100,0.7,232,610,440,19,0,1,8,2,14,102.1,1,205,235,31,18
P01047,553,38,0.627,276,10,719,3,0,0,15,1,14,118.3,5,0,0,29,5
P01048,1140,106,0.639,5,1289,483,37,0,1,11,3,13,44.3,0,956,117,10,13
P01049,152,68,0.809,751,93,432,6,0,0,9,2,7,93.4,1,2329,6,3,4
P01050,49,61,0.247,83,322,2545,45,1,4,14,6,15,0,10,1140,16,105,4
P01051,678,47,0.801,515,793,533,0,1,1,8,3,20,113.3,0,1379,0,20,10
P01052,157,0,0.282,0,576,1214,73,1,5,19,10,30,52.0,8,770,12,69,19
P01053,4,7,0.349,0,105,2098,44,1,3,13,2,26,25.1,18,570,33,102,5
P01054,1018,26,0.64,286,1135,545,0,1,2,11,3,18,60.7,2,744,258,40,0
P01055,42,30,0.306,76,189,1771,35,1,0,19,16,30,60.4,17,513,32,141,19
P01056,764,58,0.757,529,369,681,0,0,0,12,6,30,63.5,7,0,103,11,5
P01057,163,40,0.297,97,27,1735,40,1,4,19,12,22,66.5,6,0,33,31,11
P01058,215,43,0.556,12,228,2037,27,1,6,14,7,17,0,9,675,0,171,11
P01059,2107,28,0.954,274,863,575,31,0,1,11,10,25,45.4,2,0,132,23,6
P01060,21,46,0.562,0,845,2745,55,2,2,17,11,27,85.1,18,405,16,138,16
P01061,77,28,0.311,26,0,464,56,2,3,8,11,21,24.6,13,407,12,35,1
P01062,151,0,0.433,0,179,2151,61,3,2,8,8,16,45.2,7,258,23,199,17
P01063,746,5,0.773,562,10,377,6,0,2,10,2,22,75.2,2,1116,57,14,4
P01064,86,24,0.343,0,492,30,66,2,8,7,7,14,13.3,8,417,0,109,11
P01065,1349,37,1,5,339,51,34,0,0,10,6,30,124.1,8,1430,1,48,11
P01066,681,87,0.926,740,1506,541,0,0,0,10,2,15,94.1,2,399,249,33,9
P01067,1098,99,0.88,105,636,556,15,1,1,6,7,30,71.6,12,190,305,26,10
P01068,2152,24,0.993,5,2637,697,26,1,1,7,2,11,169.9,0,0,105,39,11
P01069,638,80,0.65,614,330,560,12,0,1,9,5,19,18.8,4,1390,0,12,6
P01070,7,14,0.496,105,808,2804,7,1,3,14,4,23,17.0,15,535,0,91,10
P01071,206,0,0.547,62,107,1053,35,4,2,11,4,15,0,7,802,17,85,15
P01072,30,127,1,421,1322,15,14,0,1,12,2,16,18.9,5,1372,0,26,0
P01073,431,46,0.665,55,1210,311,0,0,0,11,0,9,94.2,2,507,186,19,5
P01074,79,54,0.305,66,94,1866,31,2,2,17,8,14,19.6,4,467,16,166,6
P01075,387,126,0.836,305,985,805,6,1,2,10,2,30,113.0,0,392,52,21,9
P01076,212,54,0.444,0,94,314,33,4,3,10,2,26,33.6,13,475,0,163,1
P01077,1009,90,0.609,786,10,425,8,0,1,6,8,30,59.7,2,0,188,23,10
P01078,833,121,0.654,81,1292,506,0,0,1,16,2,30,87.6,4,2164,104,0,6
P01079,1153,107,0.606,292,10,571,8,1,0,12,0,25,62.7,7,3438,185,0,0
P01080,957,87,0.887,306,1606,681,0,0,0,8,1,18,152.6,3,959,116,30,4
P01081,742,140,0.731,99,10,784,20,0,2,9,1,13,42.2,3,230,0,38,4
P01082,957,21,0.561,313,345,591,7,1,1,12,2,14,48.1,0,1885,75,0,0
P01083,401,48,0.652,549,2003,55,7,1,0,13,2,24,89.3,7,0,110,0,0
P01084,466,100,0.417,441,606,466,20,1,0,11,1,19,54.9,6,3062,0,5,17
P01085,145,0,0.454,81,746,1109,75,1,9,19,13,23,50.0,13,981,45,41,8
P01086,157,1,0.413,126,474,1123,97,1,3,14,15,25,10.1,14,90,27,17,11
P01087,1730,92,0.562,153,1227,813,9,0,0,14,5,19,14.0,6,2251,0,67,13
P01088,841,23,0.488,822,1044,15,16,1,1,7,1,17,98.6,0,539,117,11,4
P01089,87,70,0.948,310,1289,255,13,0,2,7,3,23,131.0,2,0,32,28,7
P01090,120,45,0.478,0,154,2089,35,4,3,20,0,30,53.3,9,222,8,11,0
P01091,1069,180,0.786,501,10,1233,27,1,1,7,1,17,57.9,8,131,224,23,1
P01092,264,96,0.582,144,10,504,16,1,2,9,1,15,81.2,4,455,330,14,4
P01093,1016,96,0.783,128,10,415,2,1,2,12,5,22,128.1,1,232,13,9,4
P01094,30,102,0.808,491,920,1036,4,1,3,12,2,30,59.8,7,1205,65,14,13
P01095,254,141,0.752,5,622,178,24,0,2,15,2,11,134.0,1,0,174,0,7
P01096,126,13,0.784,0,380,1544,63,2,4,13,23,29,90.3,15,0,19,60,3
P01097,12,5,0.306,21,327,2660,31,3,7,14,13,26,35.5,14,0,69,134,2
P01098,706,143,0.461,536,284,442,5,0,1,10,7,28,161.5,2,2395,74,14,3
P01099,100,19,0.386,59,0,1126,54,3,5,8,0,30,0,15,478,0,144,12
P01100,544,32,0.793,320,748,503,2,0,0,9,1,20,122.7,3,1218,255,29,10
P01101,1283,17,0.57,74,544,516,0,0,2,13,1,19,23.1,4,1641,187,9,2
P01102,381,46,0.832,652,1026,486,18,1,1,8,6,21,81.7,3,1793,134,18,12
P01103,1467,154,0.623,182,1260,1074,22,1,0,10,2,29,115.2,5,1917,160,15,2
P01104,197,51,0.32,72,117,38,79,0,4,15,9,25,37.5,24,381,0,102,11
P01105,928,49,0.689,5,206,194,29,1,0,10,0,19,15.2,2,299,0,25,15
P01106,192,46,0.33,0,575,2721,59,2,2,11,10,29,72.4,4,938,38,63,7
P01107,661,105,0.757,326,1017,522,31,0,1,11,2,10,165.7,4,855,36,0,17
P01108,1750,22,0.674,5,63,814,12,0,2,13,5,22,75.6,3,0,153,2,7
P01109,966,51,0.92,156,557,601,5,0,0,14,1,6,91.8,0,2175,142,8,1
P01110,1162,70,0.822,485,308,130,1,0,2,14,2,10,101.6,1,1079,103,27,8
P01111,827,66,0.832,261,1442,293,7,0,1,12,7,30,52.1,6,646,241,26,11
P01112,148,74,0.512,12,0,1533,67,3,5,14,9,22,35.1,1,759,0,75,0
P01113,756,106,0.876,72,219,454,16,0,1,8,4,15,110.0,1,1189,163,6,3
P01114,926,28,0.875,48,1152,883,3,0,2,6,5,22,79.9,1,1132,4,0,12
P01115,926,97,0.745,267,229,1326,13,0,1,9,0,30,140.8,2,139,207,33,11
P01116,103,32,0.53,66,155,2460,7,2,6,14,12,14,49.8,3,383,58,192,8
P01117,1873,74,0.69,485,473,457,9,1,0,8,2,10,62.7,1,3210,325,15,2
P01118,174,15,0.557,85,735,1521,55,4,4,11,8,17,46.2,0,0,2,145,7
P01119,1,36,0.262,0,233,1554,33,1,8,12,4,24,24.0,0,334,59,72,11
P01120,1081,83,0.774,5,48,1164,15,0,3,10,3,16,104.6,0,1899,160,0,2
P01121,1081,45,0.875,440,376,650,13,1,3,12,2,13,173.2,2,0,168,0,3
P01122,678,131,0.729,130,563,478,9,0,0,5,2,23,61.4,3,1722,270,7,1
P01123,852,170,1,275,433,262,19,0,0,14,3,19,79.1,4,1715,0,2,9
P01124,2106,28,0.758,179,1142,253,20,2,1,10,2,23,112.4,1,447,318,0,10
P01125,363,111,0.854,121,178,741,31,0,1,17,2,26,60.5,3,1944,6,41,8
P01126,1093,118,0.679,205,1665,300,10,1,1,7,1,25,122.1,6,893,89,55,0
P01127,215,24,0.536,97,426,779,83,1,2,19,10,28,0,16,455,35,170,17
P01128,968,83,0.732,178,10,86,9,0,0,6,5,19,70.8,4,516,195,36,16
P01129,126,54,0.803,32,0,2127,45,0,5,7,11,20,22.9,15,485,0,9,7
P01130,133,25,0.462,48,417,2881,68,1,6,12,10,23,62.2,18,514,42,192,0
P01131,1778,82,0.931,347,1460,476,35,1,1,11,4,23,122.0,10,0,113,26,18
P01132,1317,50,0.902,104,1982,388,0,0,0,10,5,29,52.9,10,147,179,64,14
P01133,1,40,0.755,0,211,1018,77,2,1,18,6,26,87.0,14,67,0,114,26
P01134,715,74,0.731,935,254,1195,26,1,2,9,2,15,46.0,2,2170,0,26,0
P01135,873,23,0.546,579,10,43,3,0,0,12,2,20,111.8,1,267,74,5,7
P01136,1291,135,0.857,210,971,411,8,0,2,11,3,28,164.4,3,2748,144,19,9
P01137,289,56,0.928,421,1012,689,0,1,0,15,0,26,55.3,6,2019,2,24,17
P01138,1141,40,0.718,536,1477,832,28,0,0,12,2,21,84.7,11,2485,72,30,6
P01139,483,109,0.561,327,1789,15,22,1,1,8,0,13,129.6,2,1785,95,19,2
P01140,35,112,0.851,352,533,441,20,1,0,9,0,10,63.4,1,1036,150,24,6
P01141,1821,0,0.657,194,665,174,11,1,1,7,4,21,130.9,2,0,149,6,0
P01142,851,101,0.864,314,496,428,14,0,2,9,3,29,16.2,11,0,0,35,6
P01143,1762,105,1.0,575,1280,608,0,2,1,5,0,26,63.4,9,0,198,22,10
P01144,558,79,0.916,477,1150,504,7,1,2,8,3,25,62.6,4,618,39,73,12
P01145,17,28,0.451,60,0,1202,45,0,2,15,13,18,81.8,12,626,0,33,13
P01146,128,21,0.663,0,586,633,47,0,4,22,19,30,16.9,22,405,26,74,0
P01147,482,136,0.663,693,530,797,5,1,0,7,2,25,103.3,5,1329,180,0,8
P01148,76,70,0.21,92,0,1523,31,1,0,12,15,19,0,13,0,0,58,8
P01149,745,61,0.779,176,592,518,14,1,0,9,2,28,73.6,8,255,63,6,4
P01150,105,21,0.435,19,0,30,6,2,1,18,16,26,39.8,16,268,3,63,3
P01151,1230,125,0.753,282,1898,941,1,0,2,9,3,12,100.8,1,1033,115,20,10
P01152,50,39,0.098,0,443,2312,70,1,6,20,11,30,40.6,8,651,66,166,13
P01153,328,101,0.894,389,1357,410,0,1,3,16,1,21,41.1,0,2134,315,25,4
P01154,702,12,0.865,108,10,745,31,1,0,5,3,21,104.9,6,2505,0,6,0
P01155,41,0,0.53,25,694,30,0,1,4,17,18,30,132.5,13,494,52,146,0
P01156,157,15,0.38,43,323,1960,88,1,4,12,12,23,4.4,15,271,0,158,7
P01157,497,102,0.57,316,1441,317,19,0,1,14,4,22,146.2,6,2213,0,51,10
P01158,254,53,0.214,15,340,1275,47,1,5,19,10,30,43.2,18,61,48,1,3
P01159,1,64,0.331,12,381,847,39,3,1,10,13,16,28.3,6,0,0,0,12
P01160,811,111,0.784,533,10,708,7,1,2,9,1,26,66.0,8,2185,73,7,9
P01161,54,19,0.39,78,0,2424,50,0,1,12,6,14,0,5,51,21,135,12
P01162,96,44,0.393,32,502,1613,38,2,4,8,1,24,23.9,0,241,41,0,11
P01163,718,22,0.766,53,2134,924,19,0,0,6,3,14,38.2,4,841,300,0,5
P01164,789,101,0.763,284,1790,397,0,0,0,9,0,24,135.8,6,954,0,7,14
P01165,92,20,0.267,0,509,1093,51,2,5,10,17,25,70.6,16,0,8,158,0
P01166,1246,78,0.777,364,182,30,18,0,1,11,1,12,100.8,2,555,115,26,4
P01167,88,33,0.352,48,611,1380,53,1,3,18,9,18,12.9,10,94,8,129,6
P01168,921,141,0.606,99,1388,315,17,0,0,7,5,30,66.2,0,1644,111,30,3
P01169,1512,54,0.782,247,729,1019,7,0,1,12,4,19,118.5,2,0,159,32,0
P01170,121,55,0.403,63,485,1588,54,1,3,18,17,25,39.9,19,863,31,105,24
P01171,103,34,0.361,36,38,508,48,3,4,19,12,30,69.7,18,368,19,159,6
P01172,1790,34,1,5,10,42,9,0,0,8,0,20,93.8,5,2011,271,0,0
P01173,494,108,0.685,357,2092,125,10,0,1,9,0,19,61.4,6,1053,10,16,4
P01174,90,119,0.657,84,928,398,27,1,0,9,4,25,126.2,4,658,29,28,0
P01175,568,70,0.91,395,10,878,18,1,0,14,1,18,108.5,1,2654,92,33,5
P01176,922,100,0.745,450,716,1094,38,1,1,12,2,27,110.7,5,2770,121,0,17
