Gender,Distance,YearsWorked,HireDate,PreviousSalary,Salary,DepartmentCode
1,>30miles,5,1999-04-23,60K,61K,6
0,~10miles,4,2008-12-22,64K,67K,3
1,>30miles,8,2007-12-28,62K,63K,2
0,~10miles,6,2004-01-23,61K,62K,1
1,>30miles,8,2005-03-14,60K,62K,3
1,~15miles,6,2005-11-23,60K,61K,2
0,~10miles,5,2001-01-20,66K,66K,1
0,~20miles,8,1999-01-09,61K,63K,6
0,~10miles,6,2007-12-27,54K,55K,1
1,~10miles,7,2013-10-01,63K,66K,5
0,<5mile,8,2014-02-23,58K,60K,3
1,~20miles,7,2004-06-18,65K,68K,5
0,~15miles,9,2006-09-14,58K,59K,3
1,~10miles,8,2009-07-01,55K,56K,6
0,~10miles,5,2006-08-17,59K,61K,7
0,~15miles,11,2004-02-10,56K,58K,5
1,~20miles,8,2003-10-17,63K,66K,3
0,~10miles,7,2009-01-18,64K,66K,3
0,~10miles,8,2008-09-11,64K,66K,3
0,~10miles,5,1999-07-21,58K,60K,6
1,~10miles,9,2003-02-02,64K,66K,3
0,~10miles,7,2009-03-08,57K,60K,6
0,~10miles,7,2009-01-30,65K,68K,1
0,~20miles,10,2000-06-26,58K,59K,2
0,~15miles,5,2005-12-11,64K,68K,2
0,~20miles,9,2008-03-22,62K,65K,2
0,~15miles,11,2000-12-26,58K,60K,3
1,>30miles,8,2013-06-07,58K,59K,1
0,>30miles,8,2005-09-23,61K,63K,2
0,<5mile,8,2014-03-30,60K,62K,1
1,~20miles,7,2005-01-27,61K,62K,7
1,~20miles,8,2011-11-13,57K,60K,2
0,~20miles,8,2010-02-14,59K,61K,1
1,~20miles,10,2004-06-15,54K,56K,6
0,~20miles,11,2011-10-23,65K,68K,1
0,~15miles,6,2000-05-01,64K,65K,1
1,~20miles,5,2002-10-13,65K,66K,5
0,>30miles,6,2012-12-27,61K,61K,3
1,<5mile,9,2013-11-14,59K,60K,5
1,~20miles,7,2003-06-02,60K,62K,1
0,>30miles,4,2016-11-25,53K,55K,2
1,~10miles,6,2001-02-14,61K,63K,7
0,~15miles,9,2005-10-14,60K,61K,3
1,~15miles,10,2007-06-01,56K,57K,6
0,~10miles,6,2008-12-14,60K,62K,5
0,>30miles,10,2002-04-20,64K,67K,5
0,~20miles,5,2018-02-01,56K,59K,5
0,~20miles,7,2005-12-12,57K,59K,6
1,~15miles,5,2007-02-05,58K,59K,1
1,~10miles,5,2000-09-24,63K,66K,7
0,~10miles,6,2000-06-04,64K,65K,5
0,<5mile,7,2008-01-05,61K,63K,2
0,~15miles,9,2012-11-19,61K,62K,1
0,~10miles,6,2003-03-25,57K,60K,6
0,>30miles,7,2011-02-09,55K,57K,5
1,~10miles,10,2010-07-21,60K,63K,6
1,~15miles,7,1999-04-08,55K,56K,6
1,~15miles,7,2008-03-31,65K,66K,5
1,~20miles,8,2009-10-20,53K,55K,7
1,<5mile,8,2008-11-26,57K,59K,2
1,~10miles,6,1999-09-22,56K,58K,2
0,>30miles,10,2002-01-15,62K,65K,3
0,~15miles,7,2014-11-10,61K,63K,6
0,~10miles,6,2003-08-04,59K,61K,3
0,~15miles,9,2005-03-19,57K,59K,6
1,~15miles,8,2000-08-01,63K,64K,5
0,~15miles,8,2003-07-28,60K,63K,7
0,~20miles,8,2005-12-23,50K,52K,3
0,~15miles,8,2012-04-25,58K,60K,7
0,~15miles,10,2011-07-11,60K,61K,1
1,>30miles,8,2012-07-16,63K,65K,1
1,~10miles,6,2005-04-25,68K,71K,7
1,>30miles,6,2006-11-15,61K,63K,2
0,~10miles,6,2003-02-03,59K,61K,3
0,~20miles,7,2012-06-06,60K,62K,1
1,<5mile,9,2007-10-04,59K,60K,6
1,~10miles,8,2000-06-14,63K,64K,6
1,~20miles,7,2007-05-15,57K,60K,3
0,~10miles,9,2003-09-27,61K,63K,2
1,>30miles,7,2007-09-13,62K,64K,2
1,~10miles,9,2004-03-21,59K,60K,2
0,~10miles,6,1999-08-01,55K,58K,5
1,~15miles,8,2006-01-09,60K,61K,3
0,<5mile,6,2005-10-27,61K,63K,1
0,~20miles,5,2006-03-16,64K,65K,1
0,~15miles,7,2014-01-29,59K,60K,7
1,~20miles,4,2006-01-15,63K,64K,2
0,~20miles,11,2004-05-24,58K,60K,2
1,~20miles,4,2013-04-29,62K,66K,7
0,~10miles,8,2004-04-17,56K,58K,6
1,~20miles,5,2010-02-18,60K,61K,2
0,~15miles,5,2014-09-19,60K,62K,7
0,~15miles,5,2012-03-22,57K,58K,2
0,~15miles,8,2000-09-22,59K,63K,7
0,>30miles,5,2017-08-19,62K,66K,2
1,~20miles,10,2004-07-11,53K,54K,6
0,~20miles,3,2012-03-04,60K,63K,1
1,~10miles,9,2000-04-27,60K,62K,5
1,~20miles,10,2001-10-31,62K,64K,3
0,~10miles,8,2013-10-10,63K,65K,2
1,~10miles,7,2004-10-07,59K,60K,5
1,~20miles,9,2011-03-27,61K,62K,2
0,~10miles,6,2010-08-30,63K,65K,6
0,>30miles,9,2013-09-19,58K,61K,5
0,~10miles,6,2014-01-09,60K,62K,7
1,~15miles,6,2006-05-06,59K,61K,3
1,>30miles,7,2007-04-28,54K,55K,2
1,~15miles,9,2005-12-20,59K,60K,3
0,<5mile,7,2012-10-31,55K,57K,3
0,~15miles,6,2015-03-27,59K,60K,7
1,~15miles,6,2006-10-28,58K,59K,7
0,~15miles,5,2015-10-01,60K,62K,2
1,~20miles,6,2010-04-08,64K,67K,1
1,~20miles,8,2003-03-14,63K,66K,6
0,~20miles,8,1999-08-24,53K,55K,5
0,~10miles,4,2003-07-11,55K,57K,1
0,~10miles,7,2013-03-28,63K,65K,7
1,>30miles,10,2008-07-01,58K,58K,2
1,~20miles,7,1999-07-17,61K,63K,3
0,~15miles,9,2006-10-27,58K,60K,2
0,~15miles,5,2014-11-07,57K,59K,1
1,~20miles,7,2003-05-12,60K,61K,2
0,>30miles,6,2016-01-19,54K,56K,3
0,~15miles,7,2000-11-09,57K,58K,1
1,~15miles,5,2010-04-07,57K,59K,7
1,~10miles,7,2012-03-28,60K,63K,1
0,~15miles,7,2002-01-26,57K,58K,6
0,~15miles,5,2004-08-01,52K,53K,2
1,~15miles,6,2002-03-14,59K,60K,1
0,~15miles,11,2009-07-25,59K,63K,1
0,~10miles,9,2009-09-29,58K,59K,1
0,~20miles,7,2000-04-07,57K,59K,6
1,>30miles,7,2001-01-09,58K,60K,5
1,~10miles,9,2002-01-12,62K,64K,6
1,~15miles,7,2012-07-08,50K,52K,3
0,~10miles,8,2008-03-05,60K,62K,2
0,~15miles,7,2001-11-10,61K,65K,6
0,~10miles,8,2006-03-24,59K,61K,7
0,~20miles,6,1999-07-27,59K,61K,2
1,~10miles,5,2012-11-17,64K,66K,6
1,~15miles,7,2006-10-21,58K,59K,1
0,~10miles,11,2008-03-19,61K,62K,2
1,~20miles,8,1999-02-06,61K,62K,7
0,~20miles,10,1999-12-21,58K,61K,1
0,~15miles,7,2014-11-20,62K,64K,5
0,~15miles,7,2005-03-25,59K,60K,2
1,~10miles,6,2005-06-30,58K,59K,3
0,~10miles,8,2011-05-21,60K,61K,6
0,~15miles,8,2015-02-25,60K,61K,6
0,~10miles,6,2001-04-23,61K,62K,1
1,~10miles,6,2016-01-13,59K,60K,5
0,~15miles,7,2015-10-27,59K,60K,5
0,>30miles,6,2012-07-31,63K,66K,5
0,~15miles,4,2010-05-16,63K,65K,1
1,~10miles,7,2001-04-26,56K,56K,2
1,~10miles,4,2004-09-13,51K,51K,7
0,~10miles,9,2001-03-19,62K,64K,2
0,<5mile,8,2001-10-29,56K,58K,3
1,~10miles,5,2007-10-29,57K,59K,3
0,>30miles,2,2019-05-04,59K,60K,6
0,~15miles,7,2012-12-29,61K,63K,6
0,~15miles,8,2000-12-03,62K,64K,2
0,~20miles,4,2005-08-31,61K,64K,7
1,~15miles,5,2005-01-23,64K,64K,1
1,>30miles,5,2008-10-27,61K,63K,3
1,>30miles,8,2001-10-13,62K,64K,2
0,<5mile,8,2000-02-24,59K,61K,6
0,~15miles,6,2000-04-06,61K,63K,6
1,>30miles,6,2012-07-23,60K,63K,7
1,~20miles,6,2012-11-30,57K,59K,6
0,~15miles,6,2002-01-06,59K,62K,3
0,~15miles,9,2005-11-07,61K,63K,3
0,~10miles,8,2005-12-06,63K,65K,5
0,~10miles,7,2014-12-09,65K,66K,6
1,~20miles,7,2006-06-25,62K,65K,3
0,~15miles,7,2014-05-29,60K,62K,1
1,~10miles,5,2015-03-23,60K,62K,3
0,~10miles,9,2001-04-17,58K,60K,3
0,~10miles,7,1999-02-10,63K,66K,5
0,~10miles,10,2000-08-07,60K,61K,1
0,~10miles,9,2013-01-11,60K,63K,6
1,<5mile,5,2012-04-07,60K,62K,7
0,~10miles,6,1999-09-01,55K,57K,5
1,~15miles,7,2002-06-21,64K,66K,7
0,~10miles,8,2013-01-06,53K,54K,1
0,~10miles,4,2005-07-31,57K,60K,1
0,~15miles,7,2016-01-11,57K,58K,6
1,~20miles,5,2013-09-07,58K,59K,6
1,~20miles,9,2002-03-03,56K,57K,1
0,~10miles,6,2016-07-19,60K,62K,2
0,~20miles,4,2006-08-03,59K,61K,2
0,~10miles,7,1999-06-27,57K,60K,5
0,~10miles,5,2014-01-21,66K,67K,7
1,>30miles,7,2007-05-30,59K,61K,7
0,~15miles,7,2010-10-06,59K,61K,3
0,<5mile,10,2004-09-05,61K,62K,1
0,~10miles,9,2001-11-29,57K,59K,6
1,~10miles,8,1999-12-07,57K,60K,7
0,~15miles,7,2011-07-05,58K,59K,1
0,~10miles,6,2005-04-27,61K,63K,3
1,~20miles,11,2001-03-29,61K,62K,2
0,~10miles,9,2013-02-23,62K,62K,3
1,<5mile,6,2015-10-21,62K,63K,7
0,~10miles,7,2013-05-10,57K,58K,2
1,~15miles,4,2005-03-09,61K,63K,5
1,~20miles,4,2018-03-25,61K,63K,7
0,~10miles,6,2014-08-13,65K,68K,6
0,~10miles,8,2014-05-16,53K,54K,1
1,~15miles,7,2014-07-15,63K,66K,7
1,~10miles,9,2001-06-30,64K,65K,3
0,~20miles,6,2003-05-04,63K,64K,7
1,>30miles,8,2014-11-21,65K,66K,3
1,<5mile,8,2012-06-20,55K,57K,7
0,~15miles,9,2009-11-18,61K,61K,5
1,~10miles,6,2005-07-12,65K,68K,2
0,~10miles,5,2002-02-08,60K,61K,2
1,~10miles,5,2002-11-27,64K,68K,3
0,~20miles,11,2000-04-10,53K,54K,1
1,>30miles,7,2002-02-20,58K,60K,2
1,~15miles,7,2014-01-16,60K,62K,3
0,~15miles,7,2001-05-30,62K,64K,7
1,~10miles,7,2001-05-22,65K,66K,5
0,~10miles,5,2002-03-17,57K,60K,6
0,~10miles,6,2004-12-28,57K,59K,2
0,~20miles,8,2010-06-02,57K,59K,6
1,~20miles,7,2011-01-20,60K,61K,6
0,<5mile,4,2005-08-02,62K,64K,7
1,>30miles,10,2011-01-22,56K,58K,3
0,~15miles,9,2004-06-24,58K,60K,3
1,~15miles,4,2015-04-14,62K,64K,6
0,~15miles,7,2012-02-10,64K,66K,3
1,~20miles,8,2011-06-24,55K,56K,7
1,~15miles,9,2002-12-13,60K,61K,1
1,<5mile,5,2002-03-16,59K,61K,5
0,~15miles,7,2010-11-24,63K,66K,3
1,~15miles,6,2014-04-02,51K,52K,1
1,<5mile,7,2015-06-29,54K,56K,2
0,~20miles,8,2005-09-14,62K,65K,3
0,<5mile,8,2004-05-23,62K,64K,5
1,~10miles,8,2005-08-28,53K,54K,7
0,>30miles,3,2009-09-28,59K,60K,2
1,~10miles,8,2003-01-07,60K,62K,2
1,>30miles,8,2004-05-09,52K,55K,5
0,~20miles,4,2019-02-10,61K,63K,7
0,~20miles,10,2009-03-09,59K,60K,2
0,~10miles,6,2009-03-04,53K,55K,3
0,~20miles,5,2006-09-04,60K,62K,6
0,~15miles,6,2012-01-21,58K,60K,6
1,~10miles,8,2014-10-31,59K,60K,2
0,~10miles,7,2004-12-29,61K,63K,5
1,~15miles,7,2011-01-09,66K,67K,5
0,~15miles,10,1999-07-04,66K,67K,3
0,~15miles,7,2004-07-02,59K,60K,6
0,~20miles,6,2003-11-25,58K,59K,5
1,~10miles,5,2001-08-08,58K,59K,5
1,~10miles,7,2010-04-17,62K,64K,2
0,<5mile,4,2013-05-30,61K,62K,3
1,~20miles,7,2005-03-09,59K,60K,5
0,~10miles,5,2000-06-21,61K,62K,6
0,~15miles,6,2017-02-19,57K,58K,5
0,~15miles,8,1999-10-03,59K,60K,6
1,~20miles,11,2002-04-28,64K,67K,2
0,~15miles,9,2004-06-13,61K,63K,6
1,~10miles,8,2001-09-02,55K,57K,5
1,<5mile,5,2014-02-10,62K,63K,5
0,~15miles,7,2015-01-26,64K,67K,1
1,>30miles,5,2009-02-08,57K,58K,5
0,~20miles,5,2015-10-07,62K,64K,3
1,~15miles,9,2005-02-23,61K,63K,2
0,~10miles,6,2005-07-24,61K,62K,7
1,~15miles,6,2001-10-29,58K,59K,5
1,<5mile,9,2001-01-21,59K,60K,7
0,~20miles,9,2007-11-18,59K,63K,3
0,~20miles,5,2005-09-16,62K,65K,7
1,~20miles,8,2003-08-16,61K,62K,6
1,~10miles,5,2013-04-21,60K,62K,3
0,~20miles,11,2003-08-08,59K,60K,5
0,~10miles,4,2005-08-28,59K,60K,7
1,~20miles,7,2001-09-02,62K,64K,5
1,~10miles,9,2004-03-03,63K,64K,6
1,~20miles,5,2015-05-23,55K,57K,1
0,~20miles,9,2004-03-25,57K,58K,7
0,~20miles,7,2002-03-03,58K,61K,1
1,~10miles,4,2013-11-29,66K,67K,3
0,<5mile,9,2006-04-24,58K,61K,2
0,~15miles,7,1999-01-30,59K,61K,1
1,~10miles,9,2008-01-19,54K,57K,6
0,~15miles,4,2004-10-28,56K,58K,2
1,>30miles,4,2011-07-25,63K,64K,3
1,~20miles,6,2001-08-24,57K,59K,2
0,~10miles,9,2011-01-09,60K,63K,1
0,~15miles,8,2004-02-10,64K,65K,1
0,~15miles,8,2002-02-27,57K,58K,3
1,<5mile,7,2005-02-18,58K,59K,1
0,~15miles,7,2015-09-30,63K,64K,3
1,~15miles,4,2007-09-18,64K,66K,1
1,~15miles,10,2006-08-04,63K,65K,1
1,>30miles,8,2013-07-22,64K,65K,1
0,~10miles,7,1999-11-03,61K,63K,2
0,>30miles,8,2003-11-25,60K,62K,2
0,~20miles,7,2004-05-11,56K,58K,1
0,~10miles,5,2006-05-05,63K,66K,5
1,<5mile,9,2004-06-07,56K,59K,5
0,>30miles,7,2011-08-19,59K,61K,7
1,~10miles,4,2002-08-24,57K,58K,3
1,~15miles,7,2004-10-16,61K,63K,6
0,<5mile,9,2013-03-13,59K,60K,5
1,>30miles,8,2009-02-20,60K,62K,7
0,>30miles,8,2004-09-09,58K,60K,7
0,~10miles,6,2005-09-08,57K,59K,3
1,>30miles,8,2012-12-15,61K,64K,6
0,~10miles,9,2000-02-19,55K,57K,2
0,~15miles,9,2003-05-11,54K,54K,5
0,~20miles,6,2014-07-12,56K,57K,1
0,~15miles,8,2011-10-22,59K,61K,3
0,~20miles,8,1999-06-17,61K,64K,1
1,~10miles,9,2005-07-24,59K,61K,1
0,~15miles,10,2006-09-14,57K,59K,3
0,<5mile,9,2008-08-14,55K,56K,7
1,~15miles,4,2013-02-04,58K,60K,3
0,~10miles,8,2000-11-22,55K,57K,7
0,<5mile,6,2005-08-31,58K,60K,5
0,~10miles,8,2012-10-31,60K,61K,6
1,~15miles,8,2014-09-24,62K,63K,2
0,~15miles,6,2014-09-26,57K,59K,1
1,~10miles,7,1999-01-29,59K,60K,7
0,~10miles,5,2016-03-06,63K,64K,1
0,~15miles,5,2005-10-13,63K,67K,5
1,~10miles,5,2009-03-26,58K,61K,3
0,~15miles,6,2011-06-03,60K,61K,2
0,~10miles,6,2002-02-07,61K,62K,6
0,~10miles,2,2008-02-07,62K,63K,3
0,~15miles,6,2008-06-14,59K,61K,2
0,<5mile,8,1999-02-01,65K,66K,7
0,~15miles,6,2014-10-26,59K,60K,6
1,<5mile,7,2007-06-28,61K,64K,6
0,~20miles,8,2006-07-05,60K,62K,3
0,~20miles,7,1999-01-12,66K,70K,3
0,~15miles,5,2005-10-11,60K,60K,5
0,<5mile,10,2003-06-12,66K,68K,3
1,~20miles,6,2005-04-19,54K,55K,2
0,~10miles,7,1999-06-13,63K,66K,1
1,<5mile,9,2008-02-25,67K,70K,1
0,~20miles,9,2013-06-29,61K,62K,2
1,~10miles,8,2001-08-10,63K,66K,1
1,~20miles,6,2013-05-10,62K,63K,7
1,~15miles,7,2014-05-08,60K,61K,7
0,~15miles,8,1999-09-08,58K,61K,6
0,~15miles,11,2008-07-24,57K,60K,5
0,~10miles,5,2002-03-06,62K,64K,1
0,~20miles,6,2016-01-19,60K,61K,2
0,~15miles,9,2010-10-27,58K,59K,3
0,<5mile,6,2004-11-15,56K,57K,2
1,<5mile,5,2001-07-25,60K,61K,1
0,<5mile,8,2007-01-08,60K,61K,6
1,~15miles,7,2009-05-08,58K,60K,1
1,~20miles,8,2005-11-24,62K,64K,1
0,~20miles,9,2009-03-29,63K,66K,1
1,~10miles,6,2011-01-05,62K,63K,5
0,~10miles,11,2009-01-16,52K,56K,2
0,~20miles,6,2016-01-12,61K,65K,1
0,~15miles,7,2004-06-28,58K,60K,1
0,~10miles,7,1999-03-22,61K,62K,6
1,<5mile,9,2007-12-23,56K,58K,6
0,~20miles,6,2003-02-17,59K,60K,6
1,~15miles,10,2002-07-17,53K,56K,3
0,~15miles,6,1999-09-27,58K,59K,7
1,~10miles,5,2012-06-17,58K,58K,6
0,~10miles,5,1999-03-27,56K,58K,1
0,~10miles,5,2013-05-02,59K,61K,5
0,<5mile,7,2006-03-24,57K,59K,1
1,~20miles,8,2013-09-24,61K,63K,6
1,~15miles,7,2015-06-01,56K,57K,2
0,>30miles,7,1999-05-07,66K,67K,7
1,>30miles,9,2011-10-16,56K,58K,7
0,~15miles,7,2010-03-14,63K,66K,7
0,~10miles,7,2013-07-21,53K,55K,5
0,~10miles,6,2004-03-09,57K,59K,7
1,~10miles,9,2005-01-12,57K,60K,6
1,~10miles,9,2009-04-16,58K,59K,7
1,~15miles,7,2000-05-30,61K,63K,7
0,~15miles,7,1999-03-26,59K,62K,3
0,<5mile,6,2007-03-24,58K,59K,7
0,~20miles,5,2013-06-08,59K,60K,5
0,<5mile,7,2012-08-20,59K,60K,7
0,~10miles,8,2006-03-28,62K,63K,2
0,~20miles,8,1999-05-02,60K,62K,6
0,~15miles,4,2007-05-27,56K,58K,2
0,~20miles,9,2009-01-04,58K,60K,7
0,~20miles,5,2008-11-03,63K,65K,7
1,~10miles,5,2009-08-14,59K,61K,6
0,~10miles,10,2012-04-21,56K,59K,6
0,~20miles,6,2014-03-28,59K,61K,6
1,~10miles,9,2011-10-25,65K,67K,7
1,~15miles,8,2006-12-12,60K,62K,1
1,~10miles,9,2001-11-11,60K,61K,2
1,~20miles,6,2012-10-05,54K,56K,3
1,~10miles,5,2016-08-06,58K,61K,1
0,<5mile,5,2000-09-28,60K,62K,3
0,~10miles,6,2009-08-30,55K,58K,6
1,~20miles,8,2002-08-01,55K,56K,1
0,<5mile,8,2002-08-27,55K,57K,7
0,<5mile,8,2014-04-28,59K,62K,2
0,~20miles,5,2009-10-18,59K,60K,6
1,~10miles,8,2008-08-05,60K,62K,6
0,~20miles,6,2000-10-16,61K,63K,5
0,~20miles,8,2009-03-16,56K,57K,5
0,<5mile,10,2010-07-09,57K,60K,6
1,~15miles,6,2004-10-31,56K,58K,6
1,~10miles,11,2005-08-09,58K,59K,2
0,~10miles,8,2011-12-08,63K,63K,5
1,~20miles,10,2003-11-11,63K,66K,3
1,~10miles,8,2008-03-15,61K,65K,7
1,~10miles,2,2007-11-15,63K,65K,3
0,~10miles,7,2014-02-13,54K,55K,6
1,~20miles,7,2013-02-13,60K,61K,5
0,~10miles,9,2006-11-29,60K,62K,1
1,~10miles,9,2009-12-28,60K,62K,3
0,<5mile,8,2012-03-08,60K,62K,6
0,~15miles,7,2013-03-18,63K,64K,5
1,~20miles,9,2003-10-18,58K,59K,1
0,~20miles,7,2004-05-20,59K,61K,6
0,~10miles,5,2008-05-22,64K,65K,6
0,~10miles,9,2012-01-27,57K,58K,6
1,~15miles,6,2002-01-24,55K,57K,2
0,~10miles,6,2015-11-13,55K,57K,1
0,~15miles,9,2014-01-18,56K,59K,6
0,~10miles,6,2008-06-10,63K,66K,6
1,~20miles,5,2013-10-08,58K,59K,7
1,<5mile,9,2009-01-11,55K,58K,1
0,~20miles,8,2005-05-27,53K,56K,3
0,>30miles,6,1999-10-09,59K,61K,7
0,~10miles,6,2014-07-10,56K,57K,6
1,~15miles,7,2008-04-19,60K,62K,7
1,~20miles,12,2010-12-03,59K,60K,2
0,~15miles,9,2008-07-12,58K,60K,3
1,~20miles,6,2004-02-02,63K,65K,2
0,<5mile,11,2001-06-30,63K,63K,5
1,~15miles,8,2006-09-07,59K,61K,6
1,~20miles,8,2013-06-21,63K,64K,6
1,~15miles,8,2001-07-09,59K,62K,3
1,~10miles,9,2010-05-02,59K,60K,5
1,~10miles,8,2006-08-17,59K,61K,6
0,~15miles,8,2003-12-01,61K,62K,2
0,~20miles,5,2004-12-04,59K,61K,2
0,<5mile,8,2006-12-10,59K,61K,7
0,~15miles,9,2012-07-22,62K,64K,5
0,~10miles,9,2012-10-08,65K,66K,1
0,~15miles,8,2001-06-25,59K,61K,2
1,~20miles,7,2007-04-17,60K,62K,7
1,~10miles,7,2003-08-05,53K,55K,7
0,~20miles,7,2007-08-21,62K,64K,5
0,~15miles,11,2000-04-04,58K,60K,3
0,~10miles,4,2009-10-10,64K,67K,5
0,~10miles,4,2017-04-29,59K,60K,1
0,~15miles,10,2003-09-27,63K,66K,2
0,~10miles,10,2003-07-03,59K,61K,7
1,<5mile,8,2001-03-31,57K,60K,5
0,~15miles,7,2013-01-19,58K,61K,3
1,<5mile,4,2007-04-30,54K,55K,7
0,>30miles,9,2000-02-12,53K,55K,1
0,~20miles,8,2009-09-13,59K,60K,6
0,~20miles,10,2002-06-16,52K,54K,2
1,<5mile,5,2003-07-25,55K,56K,1
0,~10miles,4,2001-02-02,59K,61K,7
1,<5mile,7,2011-01-30,58K,60K,5
1,<5mile,6,2014-07-19,61K,62K,5
0,~15miles,5,2001-09-14,58K,60K,1
0,~15miles,7,2000-12-08,58K,59K,3
0,~10miles,7,2009-12-29,59K,61K,3
1,~15miles,7,2008-05-13,57K,57K,7
1,~20miles,9,2000-02-01,63K,65K,5
0,~15miles,5,2001-11-16,59K,60K,7
0,~15miles,9,2006-09-30,56K,57K,5
0,~15miles,7,1999-09-29,61K,63K,1
0,~10miles,9,2001-09-29,55K,56K,6
1,~20miles,6,2000-02-27,58K,59K,2
0,<5mile,9,2013-03-18,58K,61K,6
1,~15miles,9,2000-10-24,60K,63K,5
0,~15miles,7,1999-01-22,54K,56K,5
0,~20miles,6,2006-12-17,54K,55K,5
1,>30miles,6,2016-11-28,61K,63K,5
1,<5mile,7,2010-05-04,59K,59K,5
0,~10miles,8,2003-08-03,57K,57K,5
0,~20miles,5,2003-03-14,60K,62K,3
0,~15miles,9,2007-07-24,56K,58K,7
0,<5mile,5,2003-08-15,65K,67K,3
1,~10miles,6,2005-10-22,51K,53K,7
1,<5mile,6,1999-11-16,61K,63K,7
1,~10miles,9,2005-12-02,60K,62K,6
1,~10miles,7,2001-01-11,58K,61K,3
0,~15miles,5,2016-01-19,57K,58K,7
0,>30miles,10,2001-03-27,56K,58K,5
0,~20miles,7,2008-09-10,56K,58K,7
1,~20miles,9,2005-04-27,57K,58K,5
0,~10miles,6,2009-09-08,57K,59K,3
0,~10miles,7,2013-12-06,63K,65K,7
0,~10miles,10,2012-06-18,58K,60K,3
1,~10miles,6,2005-02-18,58K,60K,6
0,<5mile,8,1999-08-25,63K,63K,5
1,~20miles,8,2011-02-22,59K,60K,7
0,>30miles,8,2007-10-28,62K,63K,7
1,~20miles,10,2002-05-26,56K,58K,5
0,~20miles,8,1999-10-04,63K,64K,5
0,>30miles,8,2008-08-07,59K,60K,6
1,~10miles,7,2010-01-26,56K,57K,3
0,~15miles,7,2013-09-11,58K,59K,7
1,~20miles,9,2009-04-17,63K,66K,2
1,<5mile,8,2007-03-22,64K,67K,5
0,~15miles,7,2007-10-25,60K,61K,1
0,~15miles,5,2012-06-21,61K,62K,5
0,~20miles,10,2012-08-22,55K,57K,2
1,~10miles,10,2003-10-31,55K,57K,7
1,~10miles,5,2016-05-28,66K,69K,6
0,<5mile,7,2011-06-30,58K,59K,3
0,~20miles,6,2006-03-15,63K,66K,3
0,~10miles,7,2014-02-23,54K,55K,2
1,~10miles,7,2011-08-12,62K,64K,3
0,>30miles,7,2011-01-28,54K,56K,2
0,~20miles,5,2011-06-16,60K,62K,3
1,~15miles,5,2001-01-29,62K,63K,7
1,<5mile,9,2012-08-23,60K,61K,2
0,~10miles,8,2009-04-09,62K,64K,7
0,~15miles,9,2009-01-31,59K,61K,5
0,>30miles,6,2000-01-17,54K,56K,3
0,~10miles,5,1999-03-27,54K,56K,6
0,~15miles,6,1999-04-02,55K,57K,7
0,~10miles,10,2012-08-27,64K,68K,1
0,~10miles,5,2004-02-20,61K,62K,3
1,~20miles,8,2012-01-12,60K,62K,2
0,~15miles,7,2005-09-10,64K,64K,3
0,~10miles,4,2001-08-26,69K,72K,7
0,~15miles,8,2014-05-15,59K,61K,1
1,~15miles,9,2010-07-15,57K,57K,6
1,~10miles,9,2005-03-10,63K,63K,5
1,~15miles,9,2004-12-23,58K,60K,3
1,~10miles,9,1999-09-07,62K,64K,5
0,~20miles,4,2001-08-12,62K,64K,1
0,~15miles,7,2003-11-04,58K,59K,7
1,~15miles,7,2015-10-21,61K,63K,7
1,~10miles,3,2005-10-05,57K,58K,7
0,<5mile,11,1999-03-28,53K,55K,3
1,~10miles,8,2001-04-01,61K,65K,2
0,~10miles,9,2000-08-15,60K,64K,5
0,<5mile,9,2001-07-03,59K,60K,1
1,~15miles,7,2011-12-30,57K,60K,3
1,~20miles,6,2016-01-28,60K,64K,6
1,~20miles,5,2008-05-07,61K,62K,5
0,~15miles,9,2001-01-10,60K,63K,1
1,~10miles,10,2009-05-27,58K,59K,3
0,~10miles,6,2014-07-02,55K,57K,7
0,>30miles,7,2001-03-16,61K,63K,7
0,~10miles,5,2010-05-29,62K,66K,1
0,~10miles,10,2010-12-22,53K,56K,7
1,~15miles,5,2009-09-24,65K,68K,5
0,<5mile,7,2013-06-01,61K,63K,2
0,~15miles,5,2015-09-15,61K,64K,3
1,~10miles,8,2001-04-24,60K,62K,3
0,~10miles,8,2012-01-06,55K,58K,6
1,~20miles,8,2003-01-16,62K,64K,6
1,<5mile,9,2001-11-04,56K,57K,1
0,~10miles,9,2003-10-26,60K,61K,7
0,~15miles,7,2004-06-05,57K,59K,2
0,~15miles,5,2000-03-13,56K,57K,7
0,~15miles,5,2012-06-14,64K,65K,5
0,~20miles,3,2013-04-30,63K,64K,5
1,~15miles,4,2004-06-20,56K,58K,6
0,~20miles,6,2002-09-02,59K,60K,5
0,<5mile,7,2005-11-08,60K,61K,5
1,~15miles,8,2013-04-30,59K,62K,7
1,~10miles,7,2010-11-15,56K,58K,2
1,~20miles,6,2015-10-09,56K,57K,5
0,~15miles,7,2009-01-24,59K,62K,5
0,~15miles,5,2001-09-20,60K,61K,1
0,~10miles,5,2003-12-17,58K,59K,2
0,~10miles,6,2015-09-19,66K,67K,3
1,>30miles,6,2012-12-10,57K,59K,3
1,~15miles,9,2013-06-03,56K,57K,2
0,~15miles,8,2005-11-04,64K,65K,3
0,~10miles,5,2016-05-11,55K,56K,5
1,>30miles,9,2005-01-22,58K,60K,6
